Participant Code,Region,log_berpikir,k_numerikal,d_analisa,k_verbal,o_hasil,fleks,s_kerja,m_prestasi,kerjasama,k_interpersonal,pil_jabatan,prosen_kecocokan,hasil_rekomendasi
DCX_064,HEAD OFFICE,2,2,2,3,3,2,3,2,4,3,SALES,100,Disarankan
DCX_065,HEAD OFFICE,2,2,4,2,4,3,3,4,3,3,SALES,95,Disarankan
DCX_066,HEAD OFFICE,2,3,3,2,3,3,3,2,4,3,SALES,91.67,Disarankan
DCX_067,HEAD OFFICE,2,2,3,2,4,3,3,2,4,4,SALES,96.67,Disarankan
DCX_068,HEAD OFFICE,1,1,3,1,3,2,2,3,2,2,SALES,95,Disarankan
DCX_069,HEAD OFFICE,3,2,3,3,3,3,3,4,4,3,SALES,95,Disarankan
DCX_070,HEAD OFFICE,2,2,4,2,3,2,3,3,4,3,SALES,91.67,Disarankan
DCX_071,HEAD OFFICE,2,1,3,3,4,3,3,3,3,4,SALES,92.5,Disarankan
DCX_072,HEAD OFFICE,2,4,3,2,4,2,3,3,3,4,SALES,94.17,Disarankan
DCX_073,HEAD OFFICE,2,2,3,3,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_074,HEAD OFFICE,2,2,3,3,4,2,3,3,3,3,SALES,91.67,Disarankan
DCX_075,HEAD OFFICE,2,2,3,2,2,3,2,4,4,4,SALES,91.67,Disarankan
DCX_076,HEAD OFFICE,3,3,4,4,5,4,3,4,5,5,SALES,96.67,Disarankan
DCX_077,HEAD OFFICE,3,3,4,3,5,4,4,4,5,5,SALES,100,Disarankan
DCX_078,JAKARTA,3,2,3,3,4,3,3,3,3,3,SALES,95,Disarankan
DCX_079,JAKARTA,2,2,3,2,3,3,2,3,3,4,SALES,91.67,Disarankan
DCX_080,JAKARTA,2,3,4,3,4,3,3,3,2,3,SALES,92.5,Disarankan
DCX_081,JAKARTA,1,1,2,1,4,3,3,3,3,3,SALES,100,Disarankan
DCX_082,JAKARTA,2,2,3,2,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_083,JAKARTA,1,1,2,1,3,3,2,2,3,3,SALES,100,Disarankan
DCX_084,JAKARTA,2,2,2,2,4,2,3,3,4,3,SALES,90.83,Disarankan
DCX_085,JAKARTA,2,3,3,2,4,3,3,3,3,3,SALES,95,Disarankan
DCX_086,JAKARTA,3,3,3,3,3,2,3,3,4,4,SALES,94.17,Disarankan
DCX_087,JAKARTA,3,2,2,3,4,3,4,3,3,3,SALES,91.67,Disarankan
DCX_088,JAKARTA,3,2,4,3,3,2,3,3,3,4,SALES,91.67,Disarankan
DCX_089,JAKARTA,2,2,3,2,4,3,3,3,4,3,SALES,97.5,Disarankan
DCX_090,JAKARTA,3,2,3,3,4,3,2,2,5,4,SALES,93.33,Disarankan
DCX_091,JAKARTA,2,2,4,2,3,2,3,3,4,4,SALES,94.17,Disarankan
DCX_092,JAKARTA,2,2,3,2,2,1,2,3,3,2,SALES,91.67,Disarankan
DCX_093,JAKARTA,3,4,5,3,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_094,JAKARTA,3,3,4,3,3,3,2,4,4,3,SALES,91.67,Disarankan
DCX_095,JAKARTA,3,2,4,3,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_096,JAKARTA,1,1,2,1,3,3,3,3,4,3,SALES,100,Disarankan
DCX_097,JAKARTA,3,3,4,3,4,3,3,3,3,4,SALES,97.5,Disarankan
DCX_098,JAKARTA,3,3,4,3,3,3,2,3,4,4,SALES,94.17,Disarankan
DCX_099,JAKARTA,1,1,2,1,4,3,3,2,4,4,SALES,100,Disarankan
DCX_100,JAKARTA,1,1,3,2,2,2,1,3,3,3,SALES,94.17,Disarankan
DCX_101,JAKARTA,1,1,2,2,3,2,4,2,3,3,SALES,100,Disarankan
DCX_102,JAKARTA,2,2,3,3,3,2,4,2,3,3,SALES,100,Disarankan
DCX_103,JAKARTA,2,2,2,2,4,2,3,3,4,3,SALES,90.83,Disarankan
DCX_104,JAKARTA,1,2,3,1,3,2,3,2,2,3,SALES,97.5,Disarankan
DCX_105,JAKARTA,1,2,3,1,3,3,3,3,3,4,SALES,100,Disarankan
DCX_106,JAKARTA,3,2,2,3,3,2,3,3,2,3,SALES,97.5,Disarankan
DCX_107,JAKARTA,2,2,4,3,1,1,2,2,3,3,SALES,91.67,Disarankan
DCX_108,JAKARTA,1,1,2,1,4,2,4,3,2,3,SALES,97.5,Disarankan
DCX_109,JAKARTA,2,3,4,2,3,3,3,3,3,3,SALES,100,Disarankan
DCX_110,JAKARTA,1,1,2,2,2,3,2,2,3,4,SALES,97.5,Disarankan
DCX_111,JAKARTA,1,1,2,2,3,2,2,3,4,4,SALES,100,Disarankan
DCX_112,JAKARTA,2,2,4,2,2,2,2,2,2,3,SALES,95,Disarankan
DCX_113,JAKARTA,3,2,3,3,4,2,3,3,3,3,SALES,100,Disarankan
DCX_114,JAKARTA,2,2,3,2,4,3,3,3,4,3,SALES,97.5,Disarankan
DCX_115,JAKARTA,2,2,2,2,3,3,3,3,4,4,SALES,94.17,Disarankan
DCX_116,JAKARTA,3,2,4,3,4,3,3,2,3,3,SALES,91.67,Disarankan
DCX_117,JAKARTA,2,3,4,3,3,3,2,3,4,4,SALES,94.17,Disarankan
DCX_118,JAKARTA,2,2,3,2,3,3,3,2,4,4,SALES,94.17,Disarankan
DCX_119,JAKARTA,2,2,3,2,3,3,3,3,3,4,SALES,95,Disarankan
DCX_120,JAKARTA,2,3,3,3,3,3,3,2,3,4,SALES,91.67,Disarankan
DCX_121,JAKARTA,3,2,3,3,3,3,2,3,4,4,SALES,94.17,Disarankan
DCX_122,JAKARTA,1,2,2,2,4,3,3,3,4,4,SALES,91.67,Disarankan
DCX_123,JAKARTA,3,3,3,3,4,2,3,3,4,3,SALES,94.17,Disarankan
DCX_124,JAKARTA,3,3,3,3,4,4,4,4,4,5,SALES,91.67,Disarankan
DCX_125,JAKARTA,3,4,4,3,5,3,4,4,4,5,SALES,94.17,Disarankan
DCX_126,JAKARTA,3,3,4,3,4,4,4,3,4,5,SALES,91.67,Disarankan
DCX_127,JAKARTA,4,4,5,4,5,4,4,4,4,4,SALES,95,Disarankan
DCX_128,JAKARTA,3,3,4,3,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_129,JAKARTA,3,3,3,4,5,4,4,4,5,4,SALES,94.17,Disarankan
DCX_130,JAKARTA,3,3,5,3,5,3,5,4,4,4,SALES,91.67,Disarankan
DCX_131,JAKARTA,3,3,4,3,4,4,2,4,5,5,SALES,90.83,Disarankan
DCX_132,JAKARTA,3,3,4,3,4,4,4,4,4,5,SALES,95,Disarankan
DCX_133,JAKARTA,4,3,4,4,4,4,4,4,4,4,SALES,92.5,Disarankan
DCX_134,JAKARTA,4,4,4,4,4,4,4,3,5,4,SALES,91.67,Disarankan
DCX_135,JAKARTA,4,4,5,4,4,3,4,3,5,5,SALES,90.83,Disarankan
DCX_136,JAKARTA,3,3,4,3,5,4,4,4,4,5,SALES,97.5,Disarankan
DCX_137,JAKARTA,3,3,4,3,5,3,3,4,5,4,SALES,90.83,Disarankan
DCX_138,JAKARTA,3,3,4,3,5,4,4,3,4,5,SALES,94.17,Disarankan
DCX_139,JAKARTA,3,3,4,4,5,5,3,3,5,6,SALES,93.33,Disarankan
DCX_140,JAKARTA,3,3,5,3,4,4,3,4,5,4,SALES,91.67,Disarankan
DCX_141,JAKARTA,4,3,4,4,5,3,5,4,4,4,SALES,91.67,Disarankan
DCX_142,JAKARTA,3,3,4,3,4,3,4,4,5,4,SALES,91.67,Disarankan
DCX_143,JAKARTA,3,3,4,3,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_144,JAKARTA,4,4,5,5,5,4,3,4,5,4,SALES,94.17,Disarankan
DCX_145,JAKARTA,3,3,4,3,4,3,4,4,4,5,SALES,91.67,Disarankan
DCX_146,JAKARTA,3,3,4,3,5,4,4,3,5,5,SALES,96.67,Disarankan
DCX_147,JAKARTA,4,4,5,4,5,4,4,4,4,4,SALES,95,Disarankan
DCX_148,JAKARTA,4,4,5,4,4,3,3,4,5,5,SALES,90.83,Disarankan
DCX_149,JAKARTA,3,3,3,3,5,4,4,4,5,4,SALES,94.17,Disarankan
DCX_150,JAKARTA,3,4,4,3,4,4,4,4,5,5,SALES,97.5,Disarankan
DCX_151,JAKARTA,3,3,4,3,5,3,5,4,4,4,SALES,91.67,Disarankan
DCX_152,JAKARTA,3,4,3,3,4,5,3,4,5,5,SALES,90.83,Disarankan
DCX_153,JAKARTA,4,5,5,4,4,3,3,4,5,5,SALES,90.83,Disarankan
DCX_154,JAKARTA,3,2,4,3,5,4,4,3,5,5,SALES,91.67,Disarankan
DCX_155,JAKARTA,3,3,3,4,4,4,4,4,5,5,SALES,94.17,Disarankan
DCX_156,JAKARTA,4,3,5,4,5,4,4,4,5,4,SALES,97.5,Disarankan
DCX_157,JAKARTA,3,5,4,3,4,3,4,4,5,5,SALES,94.17,Disarankan
DCX_158,JAKARTA,4,3,4,4,5,4,3,4,4,4,SALES,91.67,Disarankan
DCX_159,JAKARTA,3,3,5,4,5,4,4,4,4,4,SALES,95,Disarankan
DCX_160,JAKARTA,3,3,4,3,4,4,3,4,5,5,SALES,94.17,Disarankan
DCX_161,JAKARTA,3,3,5,3,4,4,3,5,5,4,SALES,91.67,Disarankan
DCX_162,JAKARTA,3,3,4,3,4,4,4,3,4,5,SALES,91.67,Disarankan
DCX_163,JAKARTA,4,3,4,4,4,4,4,3,5,5,SALES,94.17,Disarankan
DCX_164,JAKARTA,3,3,4,3,4,4,4,3,4,5,SALES,91.67,Disarankan
DCX_165,JAKARTA,4,3,4,4,5,4,4,4,4,4,SALES,95,Disarankan
DCX_166,JAKARTA,3,4,4,3,5,4,3,5,5,4,SALES,94.17,Disarankan
DCX_167,JAKARTA,3,3,3,3,5,3,4,4,4,5,SALES,90.83,Disarankan
DCX_168,JAKARTA,3,3,4,3,5,4,4,4,4,4,SALES,95,Disarankan
DCX_169,JAKARTA,4,3,4,4,5,4,4,3,3,5,SALES,91.67,Disarankan
DCX_170,JAKARTA,3,4,5,3,4,4,4,3,4,5,SALES,91.67,Disarankan
DCX_171,JAKARTA,3,3,4,4,5,3,4,4,4,4,SALES,91.67,Disarankan
DCX_172,JAKARTA,4,3,3,4,5,4,4,4,5,4,SALES,94.17,Disarankan
DCX_173,JAKARTA,4,4,3,4,4,4,4,5,5,4,SALES,91.67,Disarankan
DCX_174,JAKARTA,4,4,5,4,5,3,5,4,4,4,SALES,91.67,Disarankan
DCX_175,JAKARTA,3,3,3,3,4,4,4,4,5,4,SALES,91.67,Disarankan
DCX_176,JAKARTA,4,3,3,4,4,4,4,4,4,5,SALES,91.67,Disarankan
DCX_177,JAKARTA,3,3,3,3,5,4,4,4,5,5,SALES,96.67,Disarankan
DCX_178,JAKARTA,3,3,4,3,4,4,4,3,5,5,SALES,94.17,Disarankan
DCX_179,JAKARTA,3,4,4,4,5,4,4,4,5,4,SALES,97.5,Disarankan
DCX_180,JAWA BARAT,3,2,3,3,4,2,3,3,3,3,SALES,91.67,Disarankan
DCX_181,JAWA BARAT,3,4,3,4,3,3,3,3,3,3,SALES,92.5,Disarankan
DCX_182,JAWA BARAT,2,3,3,2,4,2,3,3,3,3,SALES,91.67,Disarankan
DCX_183,JAWA BARAT,2,2,4,3,4,4,2,3,3,3,SALES,91.67,Disarankan
DCX_184,JAWA BARAT,2,3,3,2,4,3,3,3,3,4,SALES,97.5,Disarankan
DCX_185,JAWA BARAT,3,2,3,3,4,2,4,3,3,3,SALES,91.67,Disarankan
DCX_186,JAWA BARAT,2,2,4,2,4,2,3,3,3,3,SALES,91.67,Disarankan
DCX_187,JAWA BARAT,3,2,4,3,3,3,2,3,4,4,SALES,94.17,Disarankan
DCX_188,JAWA BARAT,1,1,2,1,3,2,3,3,2,2,SALES,95,Disarankan
DCX_189,JAWA BARAT,2,2,2,2,3,2,3,3,2,3,SALES,97.5,Disarankan
